linha_origem;cnes;co_unidade_original;nome;logradouro;numero;bairro;cep;municipio_gestor;tp_unidade;co_tipo_unidade;co_tipo_estabelecimento;latitude_original;longitude_original;latitude;longitude;candidata_upa_nome;status_cadastro;status_coordenadas;alertas
38;0007587;2,9274E+12;UNIDADE DE EMERGENCIA MAE HILDA JITOLU;RUA DIRETA CURUZU;S/N;LIBERDADE;40365230;292740;73;;008;-13.014.613.966.877.000;-3.848.805.785.179.130;-13.014613966877;-38.4880578517913;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
39;0296996;2,9274E+12;UNIDADE DE SUPORTE BASICO PM 47;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40310000;292740;42;;008;-12.959.247.430.153.600;-3.848.731.756.210.320;-12.9592474301536;-38.4873175621032;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
40;0004774;2,9274E+12;UPA 24H PROF ADROALDO ALBERGARIA;RUA DAS PEDRINHAS;358;PERIPERI;41200020;292740;73;;008;-129.243.691;-383.570.158;-12.9243691;-38.3570158;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
41;7476469;2,92741E+12;UPA 24H VALERIA;RUA DO LAVRADOR;S/N;VALERIA;41300470;292740;73;;008;-128.660.369;-384.385.456;-12.8660369;-38.4385456;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
42;0905178;2,9274E+12;AMBULANCHA OC78;RUA MARQUES DE MARICA COMPLEXO CESAR DE ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.132.418.849.800;-3.848.781.108.856.200;-12.9591324188498;-38.487811088562;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
43;0204595;2,9274E+12;UPA 24H CIDADE BAIXA SANTO ANTONIO;AVENIDA DENDENZEIROS;01;BONFIM;40420010;292740;73;;008;-13.014.572.153.910.400;-38.488.004.207.611.000;-13.0145721539104;-38.488004207611;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
44;9030158;2,92741E+12;UPA 24H PIRAJA SANTO INACIO;RUA DIRETA DE SANTO INACIO;S/N;SANTO INACIO;41231010;292740;73;;008;-129.316.724;-384.638.383;-12.9316724;-38.4638383;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
45;2470845;2,9274E+12;CENTRO DE INFORM ASSIST TOXICOLOGICA DA BAHIA CIATOX;ESTRADA DO SABOEIRO;S/N;CABULA;41150000;292740;21;;008;-12.956.065;-38.450.504;-12.956065;-38.450504;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
46;0297208;2,9274E+12;UNIDADE DE SUPORTE BASICO PM 46;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-12.959.284.024.648.300;-3.848.755.359.649.650;-12.9592840246483;-38.4875535964965;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
47;0297348;2,9274E+12;UNIDADE DE SUPORTE AVANCADO PR 03;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-12.959.284.024.648.300;-3.848.755.359.649.650;-12.9592840246483;-38.4875535964965;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
48;0285617;2,9274E+12;UNIDADE DE SUPORTE BASICO PR 36;RIUA MARQUES DE MARICA;S/N;PAU MIUDO;40310000;292740;42;;008;-12.959.393.808.099.800;-3.848.738.193.511.960;-12.9593938080998;-38.4873819351196;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
49;0285633;2,9274E+12;UNIDADE DE SUPORTE BASICO BQ 49;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40310000;292740;42;;008;-1.295.933.107.470.480;-3.848.778.963.088.980;-12.9593310747048;-38.4877896308898;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
50;0296589;2,9274E+12;UNIDADE DE SUPORTE BASICO CZ 53;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40310000;292740;42;;008;-12.959.268.341.294.100;-3.848.783.254.623.410;-12.9592683412941;-38.4878325462341;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
51;0297305;2,9274E+12;UNIDADE DE SUPORTE BASICO PB 67;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-1.295.928.925.243.280;-3.848.733.901.977.530;-12.9592892524328;-38.4873390197753;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
52;0297119;2,9274E+12;UNIDADE DE SUPORTE BASICO BR 64;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-12.959.284.024.648.300;-3.848.755.359.659.650;-12.9592840246483;-38.4875535965965;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
53;0422053;2,9274E+12;UNIDADE DE SUPORTE BASICO UT 26;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-12.959.284.024.648.300;-3.848.755.359.649.650;-12.9592840246483;-38.4875535964965;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
54;6997422;2,92741E+12;UNIDADE DE SUPORTE BASICO VL 56;RUA MARQUES DE MARICA COMPLEXO CESAR AUARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.273.569.078.900;-3.848.758.578.300.470;-12.9592735690789;-38.4875857830047;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
55;6987761;2,92741E+12;UNIDADE DE SUPORTE BASICO CC 73;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.284.024.648.300;-3.848.756.432.533.260;-12.9592840246483;-38.4875643253326;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
56;6988393;2,92741E+12;UNIDADE DE SUPORTE AVANCADO PP 20;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-1.295.925.788.572.410;-3.848.756.432.533.260;-12.9592578857241;-38.4875643253326;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
57;6988415;2,92741E+12;UNIDADE DE SUPORTE AVANCADO SM 01;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.268.341.294.100;-3.848.754.823.207.850;-12.9592683412941;-38.4875482320785;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
58;6988423;2,92741E+12;UNIDADE DE SUPORTE AVANCADO BR 60;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.268.341.294.100;-3.848.756.432.533.260;-12.9592683412941;-38.4875643253326;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
59;6988474;2,92741E+12;UNIDADE DE SUPORTE AVANCADO CZ 50;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.278.796.863.600;-3.848.756.432.533.260;-12.9592787968636;-38.4875643253326;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
60;6988482;2,92741E+12;MOTOLANCIA MT 08;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.284.024.648.300;-3.848.754.823.207.850;-12.9592840246483;-38.4875482320785;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
61;6997171;2,92741E+12;MOTOLANCIA MT 08 A;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-1.295.929.448.021.720;-3.848.756.968.975.060;-12.9592944802172;-38.4875696897506;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
62;6997341;2,92741E+12;UNIDADE DE SUPORTE BASICO SM 19;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.299.708.001.400;-384.875.750.541.687;-12.9592997080014;-38.4875750541687;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
63;6997384;2,92741E+12;UNIDADE DE SUPORTE BASICO SM 18;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.268.341.294.100;-3.848.756.432.533.260;-12.9592683412941;-38.4875643253326;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
64;6997392;2,92741E+12;UNIDADE DE SUPORTE BASICO SC 54;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.284.024.648.300;-3.848.759.114.742.270;-12.9592840246483;-38.4875911474227;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
65;6987265;2,92741E+12;UNIDADE DE SUPORTE BASICO CC 71;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.273.569.078.900;-384.875.750.541.687;-12.9592735690789;-38.4875750541687;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
66;6988407;2,92741E+12;UNIDADE DE SUPORTE AVANCADA CC 70;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.268.341.294.100;-384.875.750.541.687;-12.9592683412941;-38.4875750541687;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
67;7033753;2,92741E+12;PA MARIA DA CONCEICAO SANTIAGO IMBASSAY;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40301000;292740;73;;008;-13.014.773.378.747.400;-38.488.119.542.598.700;-13.0147733787474;-38.4881195425987;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
68;7033850;2,92741E+12;PA RODRIGO ARGOLO;RUA PERNAMBUCO;S/N;TANCREDO NEVES;41205140;292740;73;;008;-12.945.388.185.670.400;-3.844.634.145.498.270;-12.9453881856704;-38.4463414549827;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
69;7033974;2,92741E+12;PA ALFREDO BUREAU;RUA JAIME SAPOLNIK;S/N;BOCA DO RIO;41720075;292740;73;;008;-1.297.302.825;-384.297.520.261.659;-12.97302825;-38.4297520261659;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
70;7037481;2,92741E+12;MOTOLANCIA MT 06;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.263.113.509.100;-3.848.755.896.091.460;-12.9592631135091;-38.4875589609146;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
71;7037503;2,92741E+12;MOTOLANCIA MT 09 A;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.284.024.648.300;-3.848.756.968.975.060;-12.9592840246483;-38.4875696897506;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
72;7037511;2,92741E+12;MOTOLANCIA MT 09;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-1.295.928.925.243.280;-3.848.758.578.300.470;-12.9592892524328;-38.4875857830047;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
73;7037538;2,92741E+12;UNIDADE DE SUPORTE BASICO PR 33;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.263.113.509.100;-384.875.750.541.687;-12.9592631135091;-38.4875750541687;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
74;7037546;2,92741E+12;UNIDADE DE SUPORTE BASICO JA 37;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.278.796.863.600;-3.848.758.578.300.470;-12.9592787968636;-38.4875857830047;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
75;7037554;2,92741E+12;UNIDADE DE SUPORTE BASICO PP 21;RUA MARQUES DE MARICA COMPLEXO CESAR AUARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-1.295.929.448.021.720;-3.848.758.041.858.670;-12.9592944802172;-38.4875804185867;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
76;7037880;2,92741E+12;UNIDADE DE SUPORTE AVANCADO CN 10;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.273.569.078.900;-384.875.750.541.687;-12.9592735690789;-38.4875750541687;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
77;7037937;2,92741E+12;UNIDADE DE SUPORTE AVANCADO IT 30;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.273.569.078.900;-384.875.750.541.687;-12.9592735690789;-38.4875750541687;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
78;0297143;2,9274E+12;UNIDADE DE SUPORTE BASICO BR 63;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-1.295.928.925.243.280;-3.848.742.485.046.380;-12.9592892524328;-38.4874248504638;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
79;0285536;2,9274E+12;UNIDADE DE SUPORTE BASICO SC 55;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40310000;292740;42;;008;-12.959.284.024.648.300;-384.875.359.649.658;-12.9592840246483;-38.4875359649658;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
